date,country,nominal_index,nominal_year,real_index,real_year,real_nominal_spread,price_momentum_3q,price_acceleration,decade,is_crisis_period
1966-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1967-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1967-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1967-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1967-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1968-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1968-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1968-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1968-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1969-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1969-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1969-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1969-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1960s,0
1970-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1970-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1970-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1970-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1971-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1971-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1971-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1971-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1972-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1972-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1972-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1972-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1973-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1973-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1973-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1973-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1974-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1974-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1974-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1974-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1975-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1975-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1975-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1975-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1976-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1976-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1976-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1976-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1977-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1977-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1977-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1977-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1978-03-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1978-06-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1978-09-30,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
1978-12-31,Indonesia,83.0295505371629,5.913080843178133,90.83569392677045,2.05640722724114,-7.806143389607541,5.913080843178133,0.0,1970s,0
